q(MeV) 1s_{1/2} 2s_{1/2} 2p_{1/2} 2p_{3/2} 3s_{1/2} 3p_{1/2} 3p_{3/2} 3d_{3/2} 3d_{5/2} 4s_{1/2} 4p_{1/2} 4p_{3/2} 4d_{3/2} 4d_{5/2} 5s_{1/2} 5p_{1/2} 5p_{3/2} Sum
0.00145392 6.01316e-08 1.61331e-06 3.2281e-06 7.31766e-06 2.45926e-05 4.59237e-05 0.000118011 0.000650309 0.00102181 0.000358611 0.000527448 0.00152405 0.28524 0.494457 0.0287741 0.523964 1.23188 2.5686
0.00146027 6.06572e-08 1.62741e-06 3.25632e-06 7.38165e-06 2.48083e-05 4.63283e-05 0.00011905 0.000655955 0.00103068 0.000361675 0.000533015 0.00153973 0.287603 0.498541 0.0292287 0.528389 1.2424 2.59049
0.00146663 6.11875e-08 1.64164e-06 3.28479e-06 7.4462e-06 2.50258e-05 4.67366e-05 0.000120099 0.00066165 0.00103963 0.000364765 0.000538647 0.00155558 0.289985 0.502656 0.0296911 0.532844 1.25299 2.61253
0.00147303 6.17224e-08 1.65599e-06 3.31351e-06 7.51131e-06 2.52452e-05 4.71484e-05 0.000121156 0.000667394 0.00104865 0.000367881 0.000544346 0.00157161 0.292386 0.506803 0.0301613 0.537328 1.26364 2.63473
0.00147946 6.2262e-08 1.67047e-06 3.34249e-06 7.577e-06 2.54666e-05 4.7564e-05 0.000122224 0.000673187 0.00105775 0.000371023 0.000550112 0.00158782 0.294805 0.510981 0.0306396 0.541843 1.27437 2.65709
0.00148591 6.28063e-08 1.68507e-06 3.37171e-06 7.64326e-06 2.56899e-05 4.79832e-05 0.0001233 0.000679031 0.00106693 0.000374191 0.000555946 0.00160422 0.297243 0.515193 0.031126 0.546388 1.28517 2.67961
0.00149239 6.33554e-08 1.6998e-06 3.40119e-06 7.71009e-06 2.59152e-05 4.84061e-05 0.000124386 0.000684925 0.00107619 0.000377385 0.000561849 0.00162081 0.2997 0.519436 0.0316207 0.550963 1.29604 2.70229
0.0014989 6.39092e-08 1.71466e-06 3.43093e-06 7.77752e-06 2.61425e-05 4.88328e-05 0.000125482 0.000690869 0.00108553 0.000380606 0.000567821 0.00163758 0.302176 0.523713 0.0321239 0.555568 1.30697 2.72513
0.00150543 6.44679e-08 1.72965e-06 3.46093e-06 7.84553e-06 2.63717e-05 4.92633e-05 0.000126588 0.000696865 0.00109495 0.000383854 0.000573865 0.00165455 0.304671 0.528022 0.0326356 0.560203 1.31798 2.74813
0.001512 6.50315e-08 1.74478e-06 3.49119e-06 7.91414e-06 2.6603e-05 4.96977e-05 0.000127703 0.000702912 0.00110445 0.000387129 0.00057998 0.00167172 0.307185 0.532364 0.033156 0.564868 1.32905 2.77129
0.0015186 6.56e-08 1.76003e-06 3.52172e-06 7.98335e-06 2.68363e-05 5.01358e-05 0.000128828 0.000709012 0.00111403 0.000390432 0.000586167 0.00168908 0.309719 0.536739 0.0336854 0.569562 1.3402 2.79461
0.00152522 6.61735e-08 1.77542e-06 3.55251e-06 8.05316e-06 2.70717e-05 5.05779e-05 0.000129964 0.000715164 0.0011237 0.000393762 0.000592428 0.00170663 0.312273 0.541149 0.0342237 0.574287 1.35141 2.8181
0.00153187 6.6752e-08 1.79094e-06 3.58358e-06 8.12359e-06 2.73091e-05 5.10239e-05 0.000131109 0.000721369 0.00113345 0.000397119 0.000598764 0.0017244 0.314846 0.545591 0.0347712 0.579041 1.3627 2.84174
0.00153855 6.73356e-08 1.80659e-06 3.61491e-06 8.19463e-06 2.75486e-05 5.14739e-05 0.000132265 0.000727627 0.00114328 0.000400505 0.000605175 0.00174236 0.317439 0.550068 0.0353281 0.583825 1.37405 2.86555
0.00154526 6.79243e-08 1.82239e-06 3.64652e-06 8.26629e-06 2.77903e-05 5.19279e-05 0.00013343 0.000733939 0.00115319 0.000403919 0.000611663 0.00176054 0.320052 0.554579 0.0358945 0.588638 1.38546 2.88952
0.001552 6.85181e-08 1.83832e-06 3.6784e-06 8.33857e-06 2.8034e-05 5.23859e-05 0.000134607 0.000740306 0.0011632 0.000407361 0.000618228 0.00177892 0.322685 0.559124 0.0364705 0.593481 1.39695 2.91365
0.00155877 6.91171e-08 1.85439e-06 3.71057e-06 8.4115e-06 2.82799e-05 5.2848e-05 0.000135793 0.000746727 0.00117328 0.000410831 0.000624872 0.00179752 0.325338 0.563704 0.0370564 0.598354 1.40851 2.93794
0.00156557 6.97213e-08 1.8706e-06 3.74301e-06 8.48506e-06 2.8528e-05 5.33142e-05 0.00013699 0.000753204 0.00118346 0.000414331 0.000631595 0.00181633 0.328012 0.568319 0.0376523 0.603255 1.42013 2.9624
0.0015724 7.03308e-08 1.88696e-06 3.77574e-06 8.55926e-06 2.87783e-05 5.37845e-05 0.000138198 0.000759736 0.00119372 0.00041786 0.0006384 0.00183536 0.330706 0.572969 0.0382583 0.608186 1.43181 2.98701
0.00157925 7.09457e-08 1.90345e-06 3.80876e-06 8.63411e-06 2.90307e-05 5.42591e-05 0.000139417 0.000766325 0.00120407 0.000421418 0.000645286 0.00185461 0.33342 0.577654 0.0388747 0.613146 1.44357 3.01179
0.00158614 7.15659e-08 1.92009e-06 3.84206e-06 8.70962e-06 2.92854e-05 5.47378e-05 0.000140646 0.00077297 0.00121451 0.000425005 0.000652255 0.00187409 0.336156 0.582374 0.0395015 0.618135 1.45539 3.03673
0.00159306 7.21915e-08 1.93688e-06 3.87566e-06 8.78578e-06 2.95423e-05 5.52208e-05 0.000141886 0.000779673 0.00122504 0.000428623 0.000659308 0.00189379 0.338912 0.58713 0.0401391 0.623153 1.46727 3.06183
0.00160001 7.28226e-08 1.95381e-06 3.90954e-06 8.86262e-06 2.98015e-05 5.57082e-05 0.000143138 0.000786433 0.00123566 0.00043227 0.000666446 0.00191372 0.341689 0.591922 0.0407875 0.628199 1.47922 3.0871
